VehicleID,Scheme,TxBytes,RxBytes,TotalBytes
26,BASELINE_COOP_SWAP,512,400,912
26,GLBSS,700,700,1400
27,BASELINE_CRYPTO_ONLY,256,256,512
18,PROPOSED,700,300,1000
27,BABAGHAYOU_SAFETY_AWARE,400,350,750
27,OBFUSCATION,550,400,950
27,MDEE_COOP_SWAP,512,512,1024
27,RFPM,600,600,1200
27,BASELINE_COOP_SWAP,512,400,912
27,GLBSS,700,700,1400
28,BASELINE_CRYPTO_ONLY,256,256,512
28,BABAGHAYOU_SAFETY_AWARE,400,350,750
28,OBFUSCATION,550,400,950
22,PROPOSED,700,300,1000
28,MDEE_COOP_SWAP,512,512,1024
28,RFPM,600,600,1200
28,BASELINE_COOP_SWAP,512,400,912
28,GLBSS,700,700,1400
29,BASELINE_CRYPTO_ONLY,256,256,512
21,PROPOSED,700,300,1000
29,BABAGHAYOU_SAFETY_AWARE,400,350,750
29,OBFUSCATION,550,400,950
25,PROPOSED,700,300,1000
29,MDEE_COOP_SWAP,512,512,1024
29,RFPM,600,600,1200
29,BASELINE_COOP_SWAP,512,400,912
27,PROPOSED,700,300,1000
29,GLBSS,700,700,1400
30,BASELINE_CRYPTO_ONLY,256,256,512
30,BABAGHAYOU_SAFETY_AWARE,400,350,750
30,OBFUSCATION,550,400,950
30,MDEE_COOP_SWAP,512,512,1024
30,RFPM,600,600,1200
30,BASELINE_COOP_SWAP,512,400,912
30,GLBSS,700,700,1400
31,BASELINE_CRYPTO_ONLY,256,256,512
26,PROPOSED,700,300,1000
23,PROPOSED,700,300,1000
31,BABAGHAYOU_SAFETY_AWARE,400,350,750
31,OBFUSCATION,550,400,950
31,MDEE_COOP_SWAP,512,512,1024
31,RFPM,600,600,1200
31,BASELINE_COOP_SWAP,512,400,912
31,GLBSS,700,700,1400
32,BASELINE_CRYPTO_ONLY,256,256,512
29,PROPOSED,700,300,1000
32,BABAGHAYOU_SAFETY_AWARE,400,350,750
32,OBFUSCATION,550,400,950
32,MDEE_COOP_SWAP,512,512,1024
32,RFPM,600,600,1200
32,BASELINE_COOP_SWAP,512,400,912
32,GLBSS,700,700,1400
33,BASELINE_CRYPTO_ONLY,256,256,512
24,PROPOSED,700,300,1000
33,BABAGHAYOU_SAFETY_AWARE,400,350,750
33,OBFUSCATION,550,400,950
33,MDEE_COOP_SWAP,512,512,1024
33,RFPM,600,600,1200
33,BASELINE_COOP_SWAP,512,400,912
31,PROPOSED,700,300,1000
33,GLBSS,700,700,1400
34,BASELINE_CRYPTO_ONLY,256,256,512
34,BABAGHAYOU_SAFETY_AWARE,400,350,750
34,OBFUSCATION,550,400,950
34,MDEE_COOP_SWAP,512,512,1024
34,RFPM,600,600,1200
34,BASELINE_COOP_SWAP,512,400,912
34,GLBSS,700,700,1400
35,BASELINE_CRYPTO_ONLY,256,256,512
30,PROPOSED,700,300,1000
35,BABAGHAYOU_SAFETY_AWARE,400,350,750
35,OBFUSCATION,550,400,950
35,MDEE_COOP_SWAP,512,512,1024
35,RFPM,600,600,1200
35,BASELINE_COOP_SWAP,512,400,912
35,GLBSS,700,700,1400
36,BASELINE_CRYPTO_ONLY,256,256,512
32,PROPOSED,700,300,1000
36,BABAGHAYOU_SAFETY_AWARE,400,350,750
36,OBFUSCATION,550,400,950
36,MDEE_COOP_SWAP,512,512,1024
36,RFPM,600,600,1200
36,BASELINE_COOP_SWAP,512,400,912
36,GLBSS,700,700,1400
37,BASELINE_CRYPTO_ONLY,256,256,512
37,BABAGHAYOU_SAFETY_AWARE,400,350,750
37,OBFUSCATION,550,400,950
37,MDEE_COOP_SWAP,512,512,1024
37,RFPM,600,600,1200
37,BASELINE_COOP_SWAP,512,400,912
28,PROPOSED,700,300,1000
37,GLBSS,700,700,1400
38,BASELINE_CRYPTO_ONLY,256,256,512
34,PROPOSED,700,300,1000
38,BABAGHAYOU_SAFETY_AWARE,400,350,750
38,OBFUSCATION,550,400,950
38,MDEE_COOP_SWAP,512,512,1024
38,RFPM,600,600,1200
38,BASELINE_COOP_SWAP,512,400,912
38,GLBSS,700,700,1400
39,BASELINE_CRYPTO_ONLY,256,256,512
39,BABAGHAYOU_SAFETY_AWARE,400,350,750
39,OBFUSCATION,550,400,950
39,MDEE_COOP_SWAP,512,512,1024
39,RFPM,600,600,1200
39,BASELINE_COOP_SWAP,512,400,912
39,GLBSS,700,700,1400
40,BASELINE_CRYPTO_ONLY,256,256,512
35,PROPOSED,700,300,1000
40,BABAGHAYOU_SAFETY_AWARE,400,350,750
40,OBFUSCATION,550,400,950
38,PROPOSED,700,300,1000
40,MDEE_COOP_SWAP,512,512,1024
40,RFPM,600,600,1200
40,BASELINE_COOP_SWAP,512,400,912
40,GLBSS,700,700,1400
41,BASELINE_CRYPTO_ONLY,256,256,512
41,BABAGHAYOU_SAFETY_AWARE,400,350,750
41,OBFUSCATION,550,400,950
41,MDEE_COOP_SWAP,512,512,1024
41,RFPM,600,600,1200
41,BASELINE_COOP_SWAP,512,400,912
41,GLBSS,700,700,1400
42,BASELINE_CRYPTO_ONLY,256,256,512
42,BABAGHAYOU_SAFETY_AWARE,400,350,750
42,OBFUSCATION,550,400,950
42,MDEE_COOP_SWAP,512,512,1024
42,RFPM,600,600,1200
42,BASELINE_COOP_SWAP,512,400,912
42,GLBSS,700,700,1400
43,BASELINE_CRYPTO_ONLY,256,256,512
33,PROPOSED,700,300,1000
43,BABAGHAYOU_SAFETY_AWARE,400,350,750
43,OBFUSCATION,550,400,950
43,MDEE_COOP_SWAP,512,512,1024
43,RFPM,600,600,1200
43,BASELINE_COOP_SWAP,512,400,912
43,GLBSS,700,700,1400
44,BASELINE_CRYPTO_ONLY,256,256,512
36,PROPOSED,700,300,1000
44,BABAGHAYOU_SAFETY_AWARE,400,350,750
44,OBFUSCATION,550,400,950
37,PROPOSED,700,300,1000
44,MDEE_COOP_SWAP,512,512,1024
44,RFPM,600,600,1200
44,BASELINE_COOP_SWAP,512,400,912
44,GLBSS,700,700,1400
45,BASELINE_CRYPTO_ONLY,256,256,512
45,BABAGHAYOU_SAFETY_AWARE,400,350,750
45,OBFUSCATION,550,400,950
45,MDEE_COOP_SWAP,512,512,1024
45,RFPM,600,600,1200
45,BASELINE_COOP_SWAP,512,400,912
45,GLBSS,700,700,1400
46,BASELINE_CRYPTO_ONLY,256,256,512
46,BABAGHAYOU_SAFETY_AWARE,400,350,750
46,OBFUSCATION,550,400,950
46,MDEE_COOP_SWAP,512,512,1024
46,RFPM,600,600,1200
